idRestaurant,name,borough,inspectionDate,grade
41314025,NEW YUMMY TACO,BROOKLYN,2014-08-20,A
50008725,M SHANGHAI,BROOKLYN,2016-09-08,
41375676,AU ZA'ATAR,MANHATTAN,2014-04-09,A
41343181,TAQUERIA DE LOS MUERTOS,BROOKLYN,2013-09-17,
41576416,JUKAI,MANHATTAN,2016-03-16,A
40947943,WORLD FAIR MARINA RESTAURANT & BANQUET,QUEENS,2015-02-11,
41085501,PATMAR BAKE SHOP,QUEENS,2013-09-23,A
50033788,HUNAN DELIGHT,MANHATTAN,2016-03-24,B
40868810,TAJ DONUT SHOP,QUEENS,2014-06-20,
41690948,TIO POLLO RESTAURANT,QUEENS,2016-02-29,
40583385,PIZZA ROYALE,BROOKLYN,2013-07-10,B
40611479,JOE'S OF AVE U,BROOKLYN,2013-08-27,
40578092,COSTELLO'S CLADDAGH INN,BROOKLYN,2014-03-25,A
41175258,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,2015-10-27,A
41319437,IL CORSO RISTORANTE ITALIANO,MANHATTAN,2015-07-27,
50000923,DI FARA PIZZERIA,BROOKLYN,2016-09-10,
50003600,FIVE GUYS FAMOUS BURGERS AND FRIES,BROOKLYN,2014-12-03,A
50001728,NEW HONG KONG KITCHEN,MANHATTAN,2015-04-06,A
40992205,JERUSALEM II PIZZA,BROOKLYN,2016-09-19,
41697040,MAYFIELD,BROOKLYN,2014-11-22,
50011814,HARLEM FOOD COURT,MANHATTAN,2014-10-06,C
41692402,CHINA EXPRESS RESTAURANT,BROOKLYN,2013-08-15,A
41573306,RED MANGO,MANHATTAN,2016-03-25,A
41313209,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,2015-02-13,A
40362715,THE COUNTRY CAFE,MANHATTAN,2016-09-06,
40657772,GOOD RESTAURANT,MANHATTAN,2016-07-15,A
41164644,DEE'S RESTAURANT,QUEENS,2014-06-12,A
41326189,ST JAMES GATE,MANHATTAN,2015-02-24,
41458716,101 CAFE,QUEENS,2016-09-19,A
40946043,KAM TUNG RESTAURANT,QUEENS,2013-11-08,
41401447,WATTY & MEG,BROOKLYN,2014-09-09,B
41399995,DUNKIN' DONUTS,MANHATTAN,2013-10-22,
50006360,ABSOLUTE THAI RESTAURANT,MANHATTAN,2016-07-26,
50008665,SUBWAY,BRONX,2015-04-01,A
41316784,BURGER BURGER,MANHATTAN,2014-07-14,
50007677,SIPS & BITES,QUEENS,2016-02-17,
50042377,BIG APPLE CHINESE RESTAURANT,BRONX,2015-12-17,
40724277,NEW KIM'S RESTAURANT,QUEENS,2013-09-17,B
41001127,KORONET PIZZA,MANHATTAN,2016-06-22,
41678866,GOLDEN CITY,MANHATTAN,2013-07-29,B
41031273,ARIYOSHI JAPANESE RESTAURANT,MANHATTAN,2013-09-11,
41680471,LITTLE RASCAL,MANHATTAN,2015-02-03,A
41595614,HOMEMADE TAQUERIA,QUEENS,2014-01-09,
40381720,MISS LILY'S 7A,MANHATTAN,2016-09-19,B
